# epoch	train_loss\dev_p	dev_r	dev_f1
1	1.756641	1.000000	0.0000	0.0000
2	1.084366	1.000000	0.0000	0.0000
3	0.835094	0.574359	0.0916	0.1580
4	0.654136	0.566740	0.2118	0.3083
5	0.515316	0.555276	0.3614	0.4378
6	0.418209	0.602116	0.4652	0.5249
7	0.352082	0.625977	0.5241	0.5705
8	0.304791	0.673095	0.5707	0.6177
9	0.265651	0.675159	0.6067	0.6391
10	0.234945	0.684028	0.6443	0.6636
11	0.208690	0.697380	0.6746	0.6858
12	0.186158	0.723037	0.6852	0.7036
13	0.169102	0.734816	0.7024	0.7182
14	0.155593	0.745378	0.7253	0.7352
15	0.140979	0.760540	0.7375	0.7489
16	0.128799	0.755337	0.7522	0.7538
17	0.118990	0.746865	0.7792	0.7627
18	0.112109	0.768302	0.7809	0.7745
19	0.105211	0.785301	0.7776	0.7814
20	0.095802	0.806943	0.7792	0.7928
21	0.090040	0.786590	0.7866	0.7866
22	0.082889	0.794702	0.7850	0.7898
23	0.078664	0.802829	0.7890	0.7959
24	0.073534	0.800000	0.7882	0.7941
25	0.069694	0.824427	0.7948	0.8093
26	0.065187	0.802817	0.7923	0.7975
27	0.062125	0.811987	0.8087	0.8103
28	0.057772	0.825941	0.8070	0.8164
29	0.054645	0.831776	0.8005	0.8158
30	0.052606	0.821489	0.7939	0.8075
31	0.049804	0.817124	0.8038	0.8104
32	0.047441	0.806189	0.8095	0.8078
33	0.045052	0.813433	0.8021	0.8077
34	0.043828	0.830000	0.8144	0.8221
35	0.042450	0.845318	0.8267	0.8359
36	0.038417	0.828807	0.8234	0.8261
37	0.036076	0.806962	0.8340	0.8203
38	0.037217	0.826547	0.8299	0.8282
39	0.035510	0.804571	0.8348	0.8194
40	0.031865	0.810016	0.8332	0.8214
41	0.031972	0.797940	0.8234	0.8105
42	0.030825	0.816640	0.8267	0.8216
43	0.030243	0.817004	0.8250	0.8210
44	0.029433	0.808578	0.8324	0.8203
45	0.027104	0.819646	0.8324	0.8260
46	0.027416	0.807571	0.8373	0.8222
47	0.025679	0.804279	0.8299	0.8169
48	0.025159	0.836803	0.8217	0.8292
49	0.024145	0.814575	0.8226	0.8186
50	0.023566	0.839967	0.8283	0.8341
