# epoch	train_loss\dev_p	dev_r	dev_f1
1	0.194309	0.631881	0.6612	0.6462
2	0.074899	0.758772	0.6716	0.7125
3	0.060434	0.764177	0.6919	0.7263
4	0.052735	0.768717	0.6918	0.7282
5	0.047609	0.816935	0.6936	0.7502
6	0.043592	0.826546	0.7066	0.7619
7	0.040422	0.824496	0.6972	0.7555
8	0.037748	0.840369	0.7180	0.7744
9	0.035042	0.847195	0.7054	0.7699
10	0.033123	0.846304	0.7041	0.7687
11	0.031250	0.848895	0.7219	0.7802
12	0.029824	0.854061	0.7190	0.7807
13	0.027822	0.855483	0.7191	0.7814
14	0.026683	0.860702	0.7181	0.7830
15	0.025521	0.864792	0.7201	0.7858
16	0.024232	0.857249	0.7227	0.7843
17	0.023239	0.867896	0.7249	0.7900
18	0.022030	0.858676	0.7312	0.7899
19	0.021163	0.866498	0.7275	0.7909
20	0.020259	0.865018	0.7271	0.7901
21	0.019525	0.869369	0.7226	0.7892
22	0.018782	0.855471	0.7324	0.7892
23	0.017797	0.870987	0.7170	0.7865
24	0.017275	0.863042	0.7276	0.7896
25	0.016738	0.866257	0.7244	0.7890
26	0.015914	0.858029	0.7274	0.7873
27	0.015147	0.862325	0.7264	0.7885
28	0.014816	0.864357	0.7310	0.7921
29	0.014355	0.871229	0.7270	0.7926
30	0.013991	0.863083	0.7279	0.7897
31	0.013444	0.873097	0.7255	0.7925
32	0.013067	0.854182	0.7329	0.7889
33	0.012432	0.858555	0.7290	0.7885
34	0.012176	0.860789	0.7349	0.7929
35	0.011638	0.863006	0.7321	0.7922
36	0.011617	0.862520	0.7346	0.7935
37	0.011029	0.854295	0.7299	0.7872
38	0.011033	0.876871	0.7188	0.7900
39	0.010609	0.853494	0.7281	0.7858
40	0.010318	0.861456	0.7289	0.7896
41	0.010001	0.865036	0.7353	0.7949
42	0.009767	0.855595	0.7316	0.7888
43	0.009849	0.858785	0.7296	0.7889
44	0.009418	0.852095	0.7309	0.7868
45	0.009396	0.862446	0.7302	0.7909
46	0.008954	0.862171	0.7332	0.7925
47	0.008727	0.854891	0.7334	0.7895
48	0.008913	0.852963	0.7338	0.7889
49	0.008407	0.856324	0.7292	0.7877
50	0.008510	0.862125	0.7275	0.7891
